Latitude,Longitude,Altitude,acce x,acce y,acce z
0,0,0,-0.71,1.26,10.67
0,0,0,-0.78,1.29,10.71
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.33,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.33,10.71
0,0,0,-0.75,1.22,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.33,10.71
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.71
0,0,0,-0.71,1.26,10.79
0,0,0,-0.78,1.26,10.75
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.29,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.26,10.67
0,0,0,-0.78,1.29,10.67
0,0,0,-0.75,1.26,10.79
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.29,10.71
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.29,10.75
0,0,0,-0.78,1.29,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.26,10.71
0,0,0,-0.78,1.29,10.67
0,0,0,-0.78,1.29,10.71
0,0,0,-0.75,1.26,10.71
0,0,0,-0.78,1.33,10.75
0,0,0,-0.75,1.26,10.71
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.26,10.75
0,0,0,-0.71,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.26,10.67
0,0,0,-0.71,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.71,1.29,10.71
0,0,0,-0.75,1.26,10.75
0,0,0,-0.71,1.29,10.75
0,0,0,-0.71,1.29,10.67
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.26,10.67
0,0,0,-0.78,1.29,10.71
0,0,0,-0.82,1.33,10.67
0,0,0,-0.75,1.29,10.67
0,0,0,-0.71,1.29,10.67
0,0,0,-0.71,1.29,10.71
0,0,0,-0.78,1.29,10.79
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.26,10.71
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.29,10.67
0,0,0,-0.71,1.26,10.75
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.22,10.71
0,0,0,-0.75,1.29,10.71
0,0,0,-0.78,1.26,10.75
0,0,0,-0.71,1.26,10.67
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.71
0,0,0,-0.75,1.29,10.67
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.29,10.79
0,0,0,-0.75,1.26,10.71
0,0,0,-0.75,1.29,10.75
0,0,0,-0.75,1.26,10.75
0,0,0,-0.78,1.26,10.75
0,0,0,-0.78,1.26,10.67
0,0,0,-0.59,1.1,10.79
0,0,0,-0.94,1.8,12.28
0,0,0,-0.78,1.33,10.71
0,0,0,-0.75,1.26,10.67
0,0,0,-0.75,1.22,10.75
0,0,0,-0.75,1.26,10.75
30.749862,76.759239,0,-0.75,1.29,10.75
30.749862,76.759231,0,-0.75,1.26,10.71
30.749864,76.759231,0,-0.71,1.26,10.75
30.749866,76.759231,0,-0.75,1.29,10.75
30.749868,76.759231,0,-0.71,1.33,10.75
30.749868,76.759231,0,-0.78,1.29,10.75
30.749868,76.759231,0,-0.75,1.29,10.71
30.74987,76.759231,0,-0.71,1.26,10.67
30.74987,76.759231,0,-0.75,1.29,10.75
30.74987,76.759239,0,-0.71,1.18,10.75
30.74987,76.759239,0,-0.78,1.33,10.75
30.74987,76.759239,0,-0.71,1.22,10.67
30.74987,76.759239,0,-0.75,1.26,10.75
30.749872,76.759239,0,-0.78,1.29,10.75
30.749872,76.759246,0,-0.71,1.26,10.71
30.74987,76.759246,0,-0.75,1.29,10.75
30.74987,76.759246,0,-0.75,1.26,10.71
30.74987,76.759246,0,-0.75,1.29,10.67
30.74987,76.759246,0,-0.75,1.26,10.71
30.74987,76.759246,0,-0.78,1.29,10.75
30.74987,76.759246,0,-0.75,1.26,10.75
30.749868,76.759246,0,-0.78,1.29,10.71
30.749868,76.759246,0,-0.75,1.29,10.71
30.749868,76.759246,0,-0.78,1.29,10.67
30.749868,76.759246,0,-0.78,1.26,10.75
30.749868,76.759246,0,-0.75,1.29,10.75
30.74987,76.759246,0,-0.75,1.29,10.71
30.74987,76.759246,0,-0.75,1.33,10.71
30.74987,76.759246,0,-0.75,1.29,10.71
30.74987,76.759246,0,-0.75,1.29,10.71
30.74987,76.759246,0,-0.71,1.29,10.71
30.74987,76.759246,0,-0.78,1.26,10.71
30.749868,76.759246,0,-0.78,1.29,10.71
30.74987,76.759246,0,-0.75,1.26,10.71
30.74987,76.759246,0,-0.75,1.29,10.75
30.74987,76.759246,0,-0.71,1.29,10.67
30.749872,76.759246,0,-0.75,1.26,10.67
30.749872,76.759246,0,-0.78,1.29,10.71
30.749872,76.759246,0,-0.78,1.29,10.71
30.749872,76.759246,0,-0.78,1.26,10.75
30.749872,76.759246,0,-0.75,1.26,10.71
30.749872,76.759246,0,-0.71,1.26,10.75
30.749872,76.759246,0,-0.71,1.22,10.75
30.749872,76.759246,0,-0.75,1.22,10.75
30.749872,76.759239,0,-0.78,1.29,10.71
30.749872,76.759239,0,-0.75,1.26,10.75
30.74987,76.759239,0,-0.75,1.26,10.67
30.74987,76.759239,0,-0.75,1.29,10.75
30.749872,76.759239,0,-0.75,1.29,10.71
30.749872,76.759239,0,-0.78,1.29,10.71
